level,train,cannon_pos_ratio,bullet_speed_os4,bullet_speed_gp2x,train_speed_os4,train_speed_gp2x,train_speed_ratio
BubbleTrain/01-B.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
BubbleTrain/02-U.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
BubbleTrain/03-B.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
BubbleTrain/04-B.lvl,1,0.4000,10.00,8.00,2.00,0.80,0.4000
BubbleTrain/05-L.lvl,1,0.4000,10.00,8.00,2.00,0.80,0.4000
BubbleTrain/06-E.lvl,1,0.4000,10.00,8.00,2.00,0.80,0.4000
BubbleTrain/07-T.lvl,1,0.4000,10.00,8.00,2.00,0.80,0.4000
BubbleTrain/08-R.lvl,1,0.4000,10.00,8.00,2.00,0.80,0.4000
BubbleTrain/09-A.lvl,1,0.4000,12.00,8.00,2.00,0.80,0.4000
BubbleTrain/10-I.lvl,1,0.4000,10.00,8.00,2.00,0.80,0.4000
BubbleTrain/11-N.lvl,1,0.4000,12.00,8.00,2.00,0.80,0.4000
Easy/easy-1.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-10.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-2.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-3.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-4.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-5.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-6.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-7.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-8.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Easy/easy-9.lvl,1,0.4000,10.00,8.00,1.00,0.40,0.4000
Hard/hard-1.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-10.lvl,1,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-10.lvl,2,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-11.lvl,1,0.4000,12.00,8.00,1.50,0.60,0.4000
Hard/hard-11.lvl,2,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-12.lvl,1,0.4000,12.00,8.00,1.20,0.48,0.4000
Hard/hard-12.lvl,2,0.4000,12.00,8.00,1.20,0.48,0.4000
Hard/hard-13.lvl,1,0.4000,12.00,8.00,1.00,0.40,0.4000
Hard/hard-13.lvl,2,0.4000,12.00,8.00,1.00,0.40,0.4000
