package,path,category,size,sha256,author_or_metadata,provenance,license,modification_allowed,redistribution_allowed,GPLv3_compatible,status,notes
OS4 1.0final/reference,doc/images/arcproperties.png,documentation-image,1751,5b57ef530ff97f65724b010a7a7bb89340f8d9f141bcd9a5c8ccaf4434906bc7,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/bubbleblue.png,documentation-image,550,ad8b314f46de12e4a664528c1d56290da5b489cbecac610ace99c65a89941309,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/bubblebomb.png,documentation-image,506,ada7b7b181a750884d0291f1caf09de43c8265a3c05ff29ce42a9934c106db77,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/bubblecolourbomb.png,documentation-image,1598,2b114ca556c74d81414e1424a188eef2ff080e4552438abbc7a297627ddcbd97,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/bubblegreen.png,documentation-image,850,944dcc2504b6252f519da02e2aa53d78e8bbcbd53329f41fd2e3b13e8cdc2870,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/bubbleorange.png,documentation-image,718,0210073d0ccf35f3c7e813a3952c6c42f40ecddf533ba59baa0d9c22f3ad7e29,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/bubblepurple.png,documentation-image,617,c04decf06a15ab8f98b5783741f73c578ab42105c6e5d662fb9d4ca22018accb,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/bubblered.png,documentation-image,790,978a17d11746901662ae963fb5be907db5d30ef65c040cb01ddeec9004a64e3c,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/bubblespeed.png,documentation-image,1173,9d17f33ea4e8877d34a24dc0bfdb1e1b47e8b5119975a1b1596f038560f2215d,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/leveleditor.png,documentation-image,23310,56c7e233e3eec8e1083d5aa3aef0a66370a3b6478628e5d962e9ca1a1dcf6a6a,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/lineproperties.png,documentation-image,1090,665cca7a2977f9b391c7dd0bed42125d5e2b06a545436194a9926faf4ffdb200,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/mountains.png,documentation-image,32710,ea836c04aa2acef8b9d073f90fb865d4a2af59b7026b6baa2d3672445ae4a46e,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,doc/images/spiralproperties.png,documentation-image,1908,39f7855b797930a443cfa7ce5a154b315ab944d82090f1c463e74bcf4a6306fe,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/aboutus.png,graphics/ui-sprite,22490,88d01bd370c26c8c5c01023855175a7ab7424faca33e358212098e9b72e421c9,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/bubbletrain.ico,graphics/ui-sprite,13726,f14fceb0705341a94ccbb8acf4356045695b7fddac1b13dbde3b319e9ab85b8c,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/endgame.png,graphics/ui-sprite,26684,9bff1cc0b1a9fee404cc5981fc2c151906f21ac99295babb8f68821a35e260be,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/fastesttime.png,graphics/ui-sprite,25101,4d1c83db1204d2ba6c6c01f3c0c6d837e7528b4935d3cbf184378adb4b51c582,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/icon.png,graphics/ui-sprite,800,12e7e9f7cced3b34aff2447c4463f3f2addd4901ca9f39a6db847374bdb3855a,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/icon_mask.png,graphics/ui-sprite,251,01f1d69289a97c3056a9bf2f9bb5ba596d3369087ea3a2e55a0ae7995791deb5,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/intro.png,graphics/ui-sprite,24505,5a38c642a779b4a5c36c317387bb4a8416b39b44dc3a94fd02fff42445005723,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/arc-a.png,graphics/ui-sprite,405,70da4be6f6c10ac7aa0985265a40c7a26591fc40f76456b26d4b627e75e085ed,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/arc.png,graphics/ui-sprite,444,4e342a0bc1bde3839815c14d196fd8e7037530ece8dc481bfda0ca470034d934,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/cannonprops.png,graphics/ui-sprite,493,3cdbc06d80adc0a32a018a83cb63975b4d025725d153c6de1b119de328e8457d,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/gridprops.png,graphics/ui-sprite,235,805f21b044ff6920153d22a72817e31a6537441ca813ef2ac1fa7c3718ab1734,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/help.png,graphics/ui-sprite,326,a72b2eefff27e9b4771c9a6f45514af78e735cf1c0b2703e674e7681c66555ad,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/line-a.png,graphics/ui-sprite,451,2c17ea00c5fe49a08d0855c22f35c0c1d94f1ebe8869a000c5821b2f210acdd5,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/line.png,graphics/ui-sprite,456,967184e645235416f5550314f69250680999746c5d6f5edebb06bdd85f3961d3,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/load.png,graphics/ui-sprite,399,c2c353fc3efeca7172c475779794cbbb648192c8f18d54b3aa8dfba962fe29c3,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/newtrack.png,graphics/ui-sprite,608,346bd2dafaf239aabf6088d5c4e649dc8147128ab20e2d7559e09889328d7bd8,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/nexttrack.png,graphics/ui-sprite,666,d72b19f9ee26bb521f7f01a09ae4710dddfc4483698ace00951611f1f7f91cab,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/nexttracksection.png,graphics/ui-sprite,429,515bb356fcfa1c5946c31ae5a7aa0c361de4beb7a16c72167ff88834dff49930,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/previoustrack.png,graphics/ui-sprite,669,2bd47d94fd9bb257bc1d19cda452233d1177c6ed0388f06900586f576023d827,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/previoustracksection.png,graphics/ui-sprite,424,61a8a9f546f716bb89128c43a8979023998242deaf7a9fc6e320fffe0a3bc98e,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/quit.png,graphics/ui-sprite,462,5f3078c7e57e1332630c88ccbc9982ed430528d021774147e2a3dc263557e38b,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/removetrack.png,graphics/ui-sprite,606,d19ed22ce5a9b1ae4b944a58528336f50cd0e40812b02d40ebcb02d43aaf3091,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/removetracksection.png,graphics/ui-sprite,364,5576c649338f1e301245d21964cfae81ee8fad7969f21b8f885e16ed4e3c27ae,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/reversetrack.png,graphics/ui-sprite,836,241b0e8c0e8001bf80a220e3000038781d79bd3dd4e7a598ce6067386300ca63,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/save.png,graphics/ui-sprite,260,f6cc9465d528d6df0afb9520b71954beed6b9f931200a8e1c86da253f3d96f70,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/spiral-a.png,graphics/ui-sprite,591,a7cf9afbfb70a52cb26b0d03eaee7dd6bff94e8fbf6e75ef190d21b8fc67693e,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/spiral.png,graphics/ui-sprite,612,ac44db4242e1bc6886866cb3ab764b18452719e045a3066f51985a2b691e14a4,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/leveleditor/trainprops.png,graphics/ui-sprite,906,756848ca972661c6a7db8066e6f99b25f59c64fd30faf00cb82ac09798b70dea,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/menu.png,graphics/ui-sprite,50386,55fdb55b567d3aa4581ce7ae8951b8f6c6195cf1053cd894a125952a39402dd4,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/menubutton.png,graphics/ui-sprite,4575,ba95abe45d456b578b133f84459de63a88ba9059849ba217884c351166c864b9,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,gfx/options.png,graphics/ui-sprite,23760,782ed5dc46a691e62145dea77e76b4f2afbc85e9687bcee89b421a9f5f2563d6,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/background_music.wav,audio,640174,164a0e74bf6223b55195e936e74e5c12ff7e646c63d99fdde647d01a34447ff6,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/bombs.WAV,audio,27046,f06b14a9d6172efb1d3bb6628f2843325bd5de862eb8b5f352ae07d21ab7b077,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/cannon1.wav,audio,44108,e328f6441130326ba5f38d1baf308b6c4b5c0e5beda081176eff97c0ff5ae154,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/cannonReloading1.wav,audio,18160,4bddc0080ac743a418cede90fa7fd0bc8aab2e9f9b9fa37b019dc79fa5f91ec9,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/cannon_fire.wav,audio,3346,90ebc12fb0454c5e0cdf78c13697871e1820ce69680e54c92f7aa2e93651acf5,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,title=NoName; encoder=Made by Convert (c) 1994 Jesus Villena 
OS4 1.0final/reference,snd/cannon_move.wav,audio,4182,83420e8816b19aff47f4c0bbbcd5b0e0b356394d2951a69653c60ab1daf8bdd5,A1 Free Sound Effects,Embedded audio metadata,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,copyright metadata=A1 Free Sound Effects; title=Silde Rock
OS4 1.0final/reference,snd/cannon_reload.wav,audio,8590,788b283d6be22f3a8bf7e6eba9a71024cb732896f95d28737f41b889188757ef,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/cannon_reload1.wav,audio,18160,4bddc0080ac743a418cede90fa7fd0bc8aab2e9f9b9fa37b019dc79fa5f91ec9,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/click.wav,audio,2578,564985bb6f083969752c99b66b0fc752b56ff3c8a82fa88cf291aca5e7ba2539,1995-1998 Microsoft Corporation,Embedded audio metadata,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,copyright metadata=1995-1998 Microsoft Corporation
OS4 1.0final/reference,snd/click1.wav,audio,2202,d5712a8963eb3e1e181b25649ecff3080ede89c96350eb07e7d7cad429e959ea,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/gameover.wav,audio,6188,ed89c4d5df0c7fae58697525a12e2a2719c12fb164347217666d5e2418c4401e,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/gamewon.wav,audio,12692,d80140bdcb881bd578f4b4c26f6471038cf3849cd77c497b2f1064fbe21b0a0b,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/mainmenu_music.wav,audio,491728,3574b785705d674ef3a98961a8b7dc2327bf3b54da3a62793e8c3b4d513f560a,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/mainmenu_music2.wav,audio,452014,71746a58b6fc4c1e4c0a31ff1fc8fba60772140c80358b653305636239a2084a,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,snd/music.wav,audio,640174,164a0e74bf6223b55195e936e74e5c12ff7e646c63d99fdde647d01a34447ff6,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/Background.png,graphics/theme,20689,020fe61563b4cd614d104d1b12c451553a3db22d191b35656fcc105dab3ee0b3,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/arcticbackground.png,graphics/theme,6389,f9dc109e26048ac49af0c9befea31a675dafac47cb4467b98773f1dab11017cb,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/bubbleblue.png,graphics/theme,550,ad8b314f46de12e4a664528c1d56290da5b489cbecac610ace99c65a89941309,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/bubblebomb.png,graphics/theme,506,ada7b7b181a750884d0291f1caf09de43c8265a3c05ff29ce42a9934c106db77,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/bubblecolourbomb.png,graphics/theme,1598,2b114ca556c74d81414e1424a188eef2ff080e4552438abbc7a297627ddcbd97,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/bubblegreen.png,graphics/theme,850,944dcc2504b6252f519da02e2aa53d78e8bbcbd53329f41fd2e3b13e8cdc2870,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/bubbleorange.png,graphics/theme,718,0210073d0ccf35f3c7e813a3952c6c42f40ecddf533ba59baa0d9c22f3ad7e29,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/bubblepurple.png,graphics/theme,617,c04decf06a15ab8f98b5783741f73c578ab42105c6e5d662fb9d4ca22018accb,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/bubblered.png,graphics/theme,790,978a17d11746901662ae963fb5be907db5d30ef65c040cb01ddeec9004a64e3c,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/bubblespeed.png,graphics/theme,1173,9d17f33ea4e8877d34a24dc0bfdb1e1b47e8b5119975a1b1596f038560f2215d,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/cannon.png,graphics/theme,662,6c4474518b795077f508044d176842da2cf5190dd8aeea923390b14822dfd4bc,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/cannon1.wav,audio,44108,e328f6441130326ba5f38d1baf308b6c4b5c0e5beda081176eff97c0ff5ae154,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
OS4 1.0final/reference,themes/arctic/font-agentorange-yellow-14pt.png,font-bitmap,13075,8d062177691f5b33df8df8819ab8f1531a25810946f5623a9c30783fa2e468f4,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,Filename identifies Agent Orange font-derived bitmap; license not bundled
OS4 1.0final/reference,themes/arctic/font_arial_20.png,font-bitmap,5304,51d77238eb14e1e013ffc2c9fbb68ac6659849563d5472c0b9a70131342dee2c,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,Filename identifies Arial-derived bitmap font; treat as third-party unless separately cleared
OS4 1.0final/reference,themes/arctic/font_bubbleboy_16.png,font-bitmap,3585,fbe3d695b4a11c64743d49e04d3d8d5ad0e748210eabe6a98acd4d608169f433,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,Filename identifies BubbleBoy font-derived bitmap; license not bundled
OS4 1.0final/reference,themes/arctic/font_bubbleboy_20.png,font-bitmap,4295,32a6dd08bf902d813b7559156acca72371c0344f3479971a5017c798f587db6d,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,Filename identifies BubbleBoy font-derived bitmap; license not bundled
OS4 1.0final/reference,themes/arctic/font_bubbleboy_20_orange.png,font-bitmap,1621,2b549bbe41ba7df21a6984e2e51c7cba4b63a82e13160d20bf7a8215540433b5,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,Filename identifies BubbleBoy font-derived bitmap; license not bundled
OS4 1.0final/reference,themes/arctic/font_bubbleboy_30.png,font-bitmap,6928,5000eade80c15d7f119f8ca224fb375b6fd6cc898790b389985bda31c1a102ee,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,Filename identifies BubbleBoy font-derived bitmap; license not bundled
OS4 1.0final/reference,themes/arctic/font_sans_blue_10pt.png,font-bitmap,2555,088669025d454284e32c3828fd673c4b93e6175989bb974cc4e21f3a13b53f2b,Unknown,No per-file provenance notice found,UNRESOLVED,NOT ESTABLISHED,NOT ESTABLISHED,NO,QUARANTINE,
