path,cannons,trains,line_sections,arc_sections,spiral_sections,train_speeds,carriage_counts,colour_counts,special_entries,sha256
levels/BubbleTrain/01-B.lvl,1,1,5,4,0,1.0,10,2;2,,94289a5cf2bdc6732d69085bd70ce9edf25efa975a9fd3cdc1c6ee14eeef2dea
levels/BubbleTrain/02-U.lvl,1,1,2,1,0,1.0,10,3;3,,0213f2b51b8a9f827f88b928377049c70835f44cf23658a9405fd27047da921b
levels/BubbleTrain/03-B.lvl,1,1,5,4,0,1.0,25,3;3,,eff0d3c48799380423d3429e81ccbdded4302e056c9926e762571f8ad5e34a0f
levels/BubbleTrain/04-B.lvl,1,1,5,4,0,2.0,25,3;3,,deb8362229cb368887a05f15f58f55af88eda41f9540a55b79760aa818030bf3
levels/BubbleTrain/05-L.lvl,1,1,2,1,0,2.0,20,3;3,,f69711351a3b6f901efb070a08f3b1801efc609fdcff4cc24a7ba77d627341e5
levels/BubbleTrain/06-E.lvl,1,1,4,3,0,2.0,20,4;4,,8bf35811c56fffab6ba926917f75c330f05ced166f07a9c731ec1e46605a1b73
levels/BubbleTrain/07-T.lvl,1,1,4,3,0,2.0,20,4;3,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx1,560f005e93a0e2ee6562676ca447edcf1464fbc99ba86ed286a9d1104dfab862
levels/BubbleTrain/08-R.lvl,1,1,3,3,0,2.0,30,4;4,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx2;bullet:SFX_COLOUR_BOMBx1;carriage:SFX_SPEEDx1,008038abe59736d57f734907132808e55278353aeeadc7e48bb7087f437a1a1e
levels/BubbleTrain/09-A.lvl,1,1,0,2,0,2.0,20,5;5,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx1;bullet:SFX_COLOUR_BOMBx1,0050eec29f2f0e00abab02f0c772ef17b31d803cbd143debfbe805b24e09ae6d
levels/BubbleTrain/10-I.lvl,1,1,1,2,0,2.0,20,5;5,bullet:SFX_RAINBOWx2;bullet:SFX_BOMBx1;bullet:SFX_COLOUR_BOMBx1;carriage:SFX_SPEEDx1,f0bb6cdcfae75c711fc0cb5ec4f2b3a10e6dfc615c6fdf30e5cc075816e2cfc7
