path,sha256,copyright,license_status,reuse_status,notes
src/AboutUs.cpp,f54f0a039c6d78c54fb0d28aca806c712acb21013f4cab03a291dd10e3d65ec8,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/AboutUs.h,fa35e5c9465ae669b5428d44ee7f5e22fa488a46c21ac67844bd9bf2a90c3fe0,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Bubble.cpp,755f7d5d2ab17baef27b53bef99a305641f2adab2b87075a09875b5c485e8166,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Bubble.h,2a8ea1651f162ce86876c4eadbbcd1f1ce7d5a656e212568da86f48f0b7dd7b0,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/BubbleTrainWorld.cpp,e78a9c1f4c829a735186e6a02bac6eed69126289d71203c509b0c79390ddae57,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/BubbleTrainWorld.h,1ae43148c8fa070ef4658724457b4f6daa769b07a8c66f5509740a68e54445bb,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Bullet.cpp,1f49ebd4e615e16f23ec6d88305662fff21c0736139e307960b6b84e7b89f6e9,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Bullet.h,ec586101e903e3aade499ead251358f0ca8d4b7d205391dabab32e7177c189f3,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/BulletFactory.cpp,a83cee5388d728e7df3e00fda0925079cca2e10c6d3fad8ce1b1df278ed03db5,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/BulletFactory.h,e40dc2184995f23943dab4e5811ef7bb7ebdab97b3ee6f87456affa9eaaf6eda,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Button.cpp,111b9ffb83db526b6e016934cf0d843d0a3a1916cbee845f410ff6bd6194cca6,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Button.h,6c61f40d93a1fa8d7038713af0e1ba9a015248541f0b42d6cac4cc27336b3672,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/CallBack.h,839c4f5d0aae601ca8575b44bea0b974e33bc73ea89f85f1f7cf83dc31573fd9,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Cannon.cpp,063baf5a9b14bb9f455f6b079ac1092b840a1952e606b21d009d08f57c4a2c85,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Cannon.h,e242a5c2b73448c9fb93869a6ead0056580b1d7fcd015fa2124590e3acffaa7d,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Carriage.cpp,529d421d1f49caf98e03c4420a4b74659c5c96fdcb83ac464a10a4429b833634,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Carriage.h,cfd4decd07ecba72a0321d12e937a3d54f2d07d87d01c9c924cc4703384ca265,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/CarriageFactory.cpp,c4e5aac488c1f211e88ecb3748e8b43ef93717c5dd333d2cc09c97799176c859,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/CarriageFactory.h,5aabea44d0beb163065af8a548371ebe0bb1a991a3a27489fee8f04ab4873e33,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/CheckBox.cpp,a89b640caf0b7b00b99cd95a485b30f259f92fc67672d50eabbb06617f37e265,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/CheckBox.h,1b198a9dbc035f2ec696c76281d4491f642d3d42bdc9ce37ce2f42fc1eba4de2,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Control.cpp,eb1097dc487040c0461f48d385a6e8851332d192b9ad59e05f771b27bb1a75f8,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Control.h,2f17b897daa887d0f08b9ad1d6d10c2753e5c8c16f9c584d16e9ea494d202dcc,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/ExplodingBubble.cpp,0cdd5214006b22f93e6418ab42a3b3be8888bfb681435e3aa82a9246d8389039,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/ExplodingBubble.h,0698422d91a74492d081862313c298e1898b879704f6f98cbaf5b13b19e993b7,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTime.cpp,f88661a79e12b5d766a208a74e3fa90c91e05299e07fc0cf35edd2a539c29a77,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTime.h,cb4dad3a2ee685eabceac7730f106301fcb0416f68986186f87ee2d0f60da505,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTimeScreen.cpp,f289658b91b2223637bd01ed586716f6af56cd9be0f0b424204c643d3f2e225e,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
