frame,fixture,nx,ny,px,py,normalImpulseScaled,tangentImpulseScaled
57,flipper-left:poly,0.999871254,0.016047880,0.223671481,0.185058922,3.575747013,-0.715149283
58,flipper-left:poly,0.970662534,-0.240445942,0.220720440,0.184821546,0.000000000,-0.000000000
59,flipper-left:poly,0.880624235,-0.473815382,0.219605014,0.185212523,0.000000075,0.000000000
59,flipper-left:poly,0.941952646,-0.335745990,0.220677137,0.184758648,0.000000000,-0.000000000
60,flipper-left:poly,0.848417759,-0.529327273,0.220220283,0.184862584,0.000000076,-0.000000000
61,flipper-left:poly,0.768352211,-0.640027285,0.221249729,0.183959007,0.000000000,0.000000000
61,flipper-left:poly,0.781916976,-0.623382628,0.221523136,0.183785692,0.000000000,0.000000000
87,flipper-left:poly,0.999871254,0.016047999,0.223671481,0.185058922,3.575742245,-0.715148509
88,flipper-left:poly,0.970662177,-0.240447447,0.220720410,0.184821561,0.000000000,0.000000000
89,flipper-left:poly,0.880623817,-0.473816156,0.219605044,0.185212523,0.000000011,-0.000000000
89,flipper-left:poly,0.941952288,-0.335746884,0.220677137,0.184758648,0.000000000,-0.000000000
90,flipper-left:poly,0.795004845,-0.606603086,0.220970303,0.184259653,0.000000000,0.000000000
153,flipper-left:poly,0.999871254,0.016047880,0.223671481,0.185058922,3.575747013,-0.715149283
154,flipper-left:poly,0.970662534,-0.240445942,0.220720440,0.184821546,0.000000000,-0.000000000
155,flipper-left:poly,0.880624235,-0.473815382,0.219605014,0.185212523,0.000000075,0.000000000
155,flipper-left:poly,0.941952646,-0.335745990,0.220677137,0.184758648,0.000000000,-0.000000000
156,flipper-left:poly,0.848417759,-0.529327273,0.220220283,0.184862584,0.000000076,-0.000000000
157,flipper-left:poly,0.768352211,-0.640027285,0.221249729,0.183959007,0.000000000,0.000000000
157,flipper-left:poly,0.781916976,-0.623382628,0.221523136,0.183785692,0.000000000,0.000000000
