frame,t,x,y,vx,vy,angle,omega
0,0.016666668,0.225999996,0.156000003,0.000000000,-0.000000000,-0.643501043,-0.000000000
1,0.033333335,0.225999996,0.156000003,-0.182091415,-0.242788583,-0.768931806,-7.546126366
2,0.050000004,0.226008624,0.155992940,-0.000000000,-0.000000000,-0.701958776,-0.000000000
3,0.066666670,0.226000592,0.155999541,0.000000000,0.000000000,-0.684543133,0.000000000
4,0.083333336,0.226000041,0.155999973,-0.000000000,0.000000000,-0.680005968,-0.000000000
5,0.100000009,0.225999996,0.156000003,0.000000000,0.000000000,-0.678824008,-0.000000000
6,0.116666675,0.225999996,0.156000003,0.000000000,0.000000000,-0.678516090,-0.000000000
7,0.133333340,0.225999996,0.156000003,0.000000000,0.000000000,-0.678435922,-0.000000000
8,0.150000006,0.225999996,0.156000003,0.000000000,0.000000000,-0.678415060,-0.000000000
9,0.166666672,0.225999996,0.156000003,0.000000000,0.000000000,-0.678409457,-0.000000000
10,0.183333337,0.225999996,0.156000003,-0.000000000,0.000000000,-0.678408086,-0.000000000
11,0.200000018,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
12,0.216666684,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
13,0.233333349,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
14,0.250000000,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
15,0.266666681,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
16,0.283333361,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
17,0.300000012,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
18,0.316666692,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
19,0.333333343,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
20,0.350000024,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
21,0.366666675,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
22,0.383333355,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
23,0.400000036,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
24,0.416666687,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
25,0.433333367,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
26,0.450000018,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
27,0.466666698,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
28,0.483333349,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
29,0.500000000,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
30,0.516666710,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
31,0.533333361,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
32,0.550000012,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
33,0.566666722,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
34,0.583333373,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
35,0.600000024,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
36,0.616666675,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
37,0.633333385,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
38,0.650000036,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
39,0.666666687,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
40,0.683333397,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
41,0.700000048,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
42,0.716666698,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
43,0.733333349,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
44,0.750000060,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
45,0.766666710,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
46,0.783333361,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
47,0.800000072,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
48,0.816666722,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
49,0.833333373,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
50,0.850000024,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
51,0.866666734,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
52,0.883333385,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
