# flipper-joint
frame,t,x,y,vx,vy,angle,omega
0,0.016666668,0.225999996,0.156000003,0.585817218,0.781089604,-0.249969542,24.277091980
1,0.033333335,0.226000026,0.156000003,0.354956955,1.390300870,0.310154527,35.678512573
2,0.050000004,0.225999996,0.156000003,-0.486890316,1.519168496,0.924235523,39.666526794
3,0.066666670,0.225999996,0.156000003,-1.312066078,0.990336776,1.554163814,40.874397278
4,0.083333336,0.226020336,0.156099752,-0.000000000,-0.000000000,1.417100906,0.000000000
5,0.100000009,0.226033762,0.156096026,-0.000000000,-0.000000000,1.280157208,-0.000000000
6,0.116666675,0.226046562,0.156090528,0.000000000,0.000000000,1.143213630,0.000000000
7,0.133333340,0.226036832,0.156055078,0.000000000,0.000000000,1.019606352,-0.000000000
8,0.150000006,0.226002544,0.156003714,0.000000000,-0.000000000,0.977156758,0.000000000
9,0.166666672,0.226000160,0.156000257,0.000000000,0.000000000,0.966097772,0.000000000
10,0.183333337,0.225999996,0.156000018,0.247732848,-0.171197474,0.841635227,-7.487587929
11,0.200000018,0.225999996,0.156000003,0.339038461,-0.302899659,0.654360890,-11.304493904
12,0.216666684,0.225999996,0.156000018,0.323446393,-0.421643645,0.435943842,-13.213530540
13,0.233333349,0.225999996,0.156000003,0.240423322,-0.516112864,0.202213854,-14.157160759
14,0.250000000,0.226000026,0.156000003,0.118097305,-0.576039732,-0.039023012,-14.621054649
15,0.266666681,0.225999996,0.156000003,-0.023289038,-0.596499622,-0.283849120,-14.843173981
16,0.283333361,0.225999996,0.156000003,-0.168233126,-0.576681256,-0.530186951,-14.936793327
17,0.300000012,0.225999996,0.156000018,-0.304166079,-0.518905878,-0.776831031,-14.955752373
18,0.316666692,0.226010174,0.155991644,-0.000000000,0.000000000,-0.704007626,-0.000000000
19,0.333333343,0.226000696,0.155999452,0.000000000,0.000000000,-0.685076952,0.000000000
20,0.350000024,0.226000041,0.155999973,-0.000000000,-0.000000000,-0.680145204,0.000000000
21,0.366666675,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678860307,-0.000000000
22,0.383333355,0.225999996,0.156000003,0.000000000,0.000000000,-0.678525567,0.000000000
23,0.400000036,0.225999996,0.156000003,0.000000000,0.000000000,-0.678438306,0.000000000
24,0.416666687,0.225999996,0.156000003,0.000000000,0.000000000,-0.678415716,0.000000000
25,0.433333367,0.225999996,0.156000003,0.612862825,0.760333776,-0.284801275,24.282510757
26,0.450000018,0.225999996,0.156000003,0.403209150,1.377269506,0.275384903,35.682998657
27,0.466666698,0.225999981,0.156000018,-0.433772713,1.535129547,0.889450133,39.665328979
28,0.483333349,0.225999996,0.155999988,-1.276603818,1.035185695,1.519284487,40.867153168
29,0.500000000,0.226023793,0.156098992,0.000000000,0.000000000,1.382221460,0.000000000
30,0.516666710,0.226037070,0.156094804,0.000000000,0.000000000,1.245277882,-0.000000000
31,0.533333361,0.226049691,0.156088859,0.000000000,-0.000000000,1.108334303,0.000000000
32,0.550000012,0.226017714,0.156026155,-0.000000000,0.000000000,1.001839995,-0.000000000
33,0.566666722,0.226001218,0.156001762,0.000000000,-0.000000000,0.972528279,-0.000000000
34,0.583333373,0.226000100,0.156000122,-0.000000000,0.000000000,0.964892149,-0.000000000
35,0.600000024,0.225999996,0.156000003,0.247534484,-0.171501711,0.840425193,-7.487835884
36,0.616666675,0.225999996,0.156000003,0.338682234,-0.303319097,0.653145075,-11.304844856
37,0.633333385,0.225999996,0.156000003,0.322942227,-0.422047943,0.434722245,-13.213887215
38,0.650000036,0.225999996,0.156000003,0.239797741,-0.516417146,0.200987265,-14.157460213
39,0.666666687,0.225999996,0.156000003,0.117392279,-0.576192141,-0.040252868,-14.621256828
40,0.683333397,0.225999996,0.156000003,-0.024022760,-0.596473873,-0.285080314,-14.843255997
41,0.700000048,0.225999996,0.156000003,-0.168942451,-0.576471746,-0.531417429,-14.936744690
42,0.716666698,0.225999996,0.156000003,-0.304800689,-0.518524885,-0.778058469,-14.955572128
43,0.733333349,0.226010442,0.155991450,0.000000000,0.000000000,-0.704325795,0.000000000
44,0.750000060,0.226000711,0.155999437,0.000000000,0.000000000,-0.685159802,0.000000000
45,0.766666710,0.226000041,0.155999973,0.000000000,0.000000000,-0.680166841,0.000000000
46,0.783333361,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678865969,-0.000000000
47,0.800000072,0.225999996,0.156000003,0.000000000,0.000000000,-0.678527057,-0.000000000
48,0.816666722,0.225999996,0.156000003,0.000000000,0.000000000,-0.678438842,0.000000000
49,0.833333373,0.225999996,0.156000003,0.000000000,0.000000000,-0.678415716,-0.000000000
50,0.850000024,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678409755,0.000000000
51,0.866666734,0.225999996,0.156000018,-0.000000000,0.000000000,-0.678408384,-0.000000000
52,0.883333385,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
53,0.900000036,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,0.000000000
54,0.916666687,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
55,0.933333397,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,-0.000000000
56,0.950000048,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
57,0.966666698,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
58,0.983333409,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
59,1.000000000,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
