# flipper
frame,t,x,y,vx,vy,angle,omega
0,0.016666668,0.312498629,0.119641259,0.040952347,-0.037073024,-0.680072308,-0.001160403
1,0.033333335,0.313295364,0.118894279,0.047061849,-0.045588136,-0.675843954,0.001120662
2,0.050000004,0.314207852,0.118034258,0.054188918,-0.052182555,-0.675908804,-0.000035438
3,0.066666670,0.342885435,0.148118153,1.720654488,1.805033684,-0.473571926,12.226222992
4,0.083333336,0.371563017,0.177869946,1.720654488,1.785107970,0.011055757,30.367452621
5,0.100000009,0.400240600,0.207289651,1.720654488,1.765182257,0.602101505,37.941604614
6,0.116666675,0.428918183,0.236377269,1.720654488,1.745256662,1.225199699,40.351585388
7,0.133333340,0.457595736,0.265132785,1.720654488,1.725330949,1.088136792,-0.000000000
8,0.150000006,0.486273289,0.293556213,1.720654488,1.705405235,0.994975448,-0.000000000
9,0.166666672,0.514950871,0.321647555,1.720654488,1.685479522,0.970739961,0.000000000
10,0.183333337,0.543628395,0.349406779,1.720654488,1.665553808,0.964426160,0.000000000
11,0.200000018,0.572305977,0.376833916,1.720654488,1.645628214,0.962781191,-0.000000000
12,0.216666684,0.600983500,0.403928936,1.720654488,1.625702500,0.962352633,0.000000000
13,0.233333349,0.629661083,0.430691898,1.720654488,1.605776787,0.962241232,-0.000000000
14,0.250000000,0.658338666,0.457122743,1.720654488,1.585851192,0.962212145,0.000000000
15,0.266666681,0.687016189,0.483221531,1.720654488,1.565925598,0.962204397,0.000000000
16,0.283333361,0.715693772,0.508988202,1.720654488,1.546000004,0.962202609,0.000000000
17,0.300000012,0.744371295,0.534422755,1.720654488,1.526074409,0.962202132,0.000000000
18,0.316666692,0.773048878,0.559525251,1.720654488,1.506148815,0.962202132,-0.000000000
19,0.333333343,0.801726460,0.584295630,1.720654488,1.486223221,0.962202132,0.000000000
20,0.350000024,0.830403984,0.608733952,1.720654488,1.466297626,0.962202132,-0.000000000
21,0.366666675,0.859081566,0.632840157,1.720654488,1.446372032,0.962202132,0.000000000
22,0.383333355,0.887759089,0.656614244,1.720654488,1.426446438,0.962202132,0.000000000
23,0.400000036,0.916436672,0.680056274,1.720654488,1.406520844,0.962202132,-0.000000000
24,0.416666687,0.945114255,0.703166187,1.720654488,1.386595249,0.962202132,-0.000000000
25,0.433333367,0.973791778,0.725944042,1.720654488,1.366669655,0.962202132,0.000000000
26,0.450000018,1.002469301,0.748389781,1.720654488,1.346744061,0.962202132,0.000000000
27,0.466666698,1.031146884,0.770503402,1.720654488,1.326818466,0.962202132,-0.000000000
28,0.483333349,1.059824467,0.792284966,1.720654488,1.306892872,0.962202132,-0.000000000
29,0.500000000,1.088502049,0.813734412,1.720654488,1.286967278,0.962202132,0.000000000
30,0.516666710,1.117179632,0.834851861,1.720654488,1.267041683,0.962202132,0.000000000
31,0.533333361,1.145857096,0.855637074,1.720654488,1.247116089,0.962202132,-0.000000000
32,0.550000012,1.174534678,0.876090229,1.720654488,1.227190495,0.962202132,-0.000000000
33,0.566666722,1.203212261,0.896211326,1.720654488,1.207264900,0.962202132,0.000000000
34,0.583333373,1.231889844,0.916000366,1.720654488,1.187339306,0.962202132,0.000000000
35,0.600000024,1.260567427,0.935457230,1.720654488,1.167413712,0.962202132,-0.000000000
36,0.616666675,1.289244890,0.954582036,1.720654488,1.147488117,0.962202132,-0.000000000
37,0.633333385,1.317922473,0.973374724,1.720654488,1.127562523,0.962202132,0.000000000
38,0.650000036,1.346600056,0.991835415,1.720654488,1.107636929,0.962202132,0.000000000
39,0.666666687,1.375277638,1.009963870,1.720654488,1.087711334,0.962202132,-0.000000000
40,0.683333397,1.403955221,1.027760267,1.720654488,1.067785740,0.962202132,-0.000000000
41,0.700000048,1.432632685,1.045224667,1.720654488,1.047860146,0.962202132,0.000000000
42,0.716666698,1.461310267,1.062356949,1.720654488,1.027934551,0.962202132,0.000000000
43,0.733333349,1.489987850,1.079157114,1.720654488,1.008008957,0.962202132,-0.000000000
44,0.750000060,1.518665433,1.095625162,1.720654488,0.988083363,0.962202132,-0.000000000
