# freefall
frame,t,x,y,vx,vy,angle,omega
0,0.016666668,0.379999995,0.799667895,0.000000000,-0.019925641,0.000000000,0.000000000
1,0.033333335,0.379999995,0.799003720,0.000000000,-0.039851282,0.000000000,0.000000000
2,0.050000004,0.379999995,0.798007369,0.000000000,-0.059776921,0.000000000,0.000000000
3,0.066666670,0.379999995,0.796679020,0.000000000,-0.079702564,0.000000000,0.000000000
4,0.083333336,0.379999995,0.795018554,0.000000000,-0.099628203,0.000000000,0.000000000
5,0.100000009,0.379999995,0.793025970,0.000000000,-0.119553842,0.000000000,0.000000000
6,0.116666675,0.379999995,0.790701270,0.000000000,-0.139479488,0.000000000,0.000000000
7,0.133333340,0.379999995,0.788044572,0.000000000,-0.159405127,0.000000000,0.000000000
8,0.150000006,0.379999995,0.785055697,0.000000000,-0.179330766,0.000000000,0.000000000
9,0.166666672,0.379999995,0.781734765,0.000000000,-0.199256405,0.000000000,0.000000000
10,0.183333337,0.379999995,0.778081715,0.000000000,-0.219182044,0.000000000,0.000000000
11,0.200000018,0.379999995,0.774096608,0.000000000,-0.239107683,0.000000000,0.000000000
12,0.216666684,0.379999995,0.769779325,0.000000000,-0.259033322,0.000000000,0.000000000
13,0.233333349,0.379999995,0.765130043,0.000000000,-0.278958976,0.000000000,0.000000000
14,0.250000000,0.379999995,0.760148644,0.000000000,-0.298884600,0.000000000,0.000000000
15,0.266666681,0.379999995,0.754835129,0.000000000,-0.318810254,0.000000000,0.000000000
16,0.283333361,0.379999995,0.749189496,0.000000000,-0.338735878,0.000000000,0.000000000
17,0.300000012,0.379999995,0.743211865,0.000000000,-0.358661532,0.000000000,0.000000000
18,0.316666692,0.379999995,0.736902058,0.000000000,-0.378587186,0.000000000,0.000000000
19,0.333333343,0.379999995,0.730260193,0.000000000,-0.398512810,0.000000000,0.000000000
20,0.350000024,0.379999995,0.723286211,0.000000000,-0.418438435,0.000000000,0.000000000
21,0.366666675,0.379999995,0.715980172,0.000000000,-0.438364089,0.000000000,0.000000000
22,0.383333355,0.379999995,0.708341956,0.000000000,-0.458289713,0.000000000,0.000000000
23,0.400000036,0.379999995,0.700371742,0.000000000,-0.478215367,0.000000000,0.000000000
24,0.416666687,0.379999995,0.692069411,0.000000000,-0.498140991,0.000000000,0.000000000
25,0.433333367,0.379999995,0.683434963,0.000000000,-0.518066645,0.000000000,0.000000000
26,0.450000018,0.379999995,0.674468398,0.000000000,-0.537992299,0.000000000,0.000000000
27,0.466666698,0.379999995,0.665169835,0.000000000,-0.557917953,0.000000000,0.000000000
28,0.483333349,0.379999995,0.655539095,0.000000000,-0.577843547,0.000000000,0.000000000
29,0.500000000,0.379999995,0.645576298,0.000000000,-0.597769201,0.000000000,0.000000000
30,0.516666710,0.379999995,0.635281384,0.000000000,-0.617694855,0.000000000,0.000000000
31,0.533333361,0.379999995,0.624654353,0.000000000,-0.637620509,0.000000000,0.000000000
32,0.550000012,0.379999995,0.613695264,0.000000000,-0.657546163,0.000000000,0.000000000
33,0.566666722,0.379999995,0.602403998,0.000000000,-0.677471757,0.000000000,0.000000000
34,0.583333373,0.379999995,0.590780735,0.000000000,-0.697397411,0.000000000,0.000000000
35,0.600000024,0.379999995,0.578825355,0.000000000,-0.717323065,0.000000000,0.000000000
36,0.616666675,0.379999995,0.566537857,0.000000000,-0.737248719,0.000000000,0.000000000
37,0.633333385,0.379999995,0.553918242,0.000000000,-0.757174373,0.000000000,0.000000000
38,0.650000036,0.379999995,0.540966630,0.000000000,-0.777099967,0.000000000,0.000000000
39,0.666666687,0.379999995,0.527682841,0.000000000,-0.797025621,0.000000000,0.000000000
40,0.683333397,0.379999995,0.514066994,0.000000000,-0.816951275,0.000000000,0.000000000
41,0.700000048,0.379999995,0.500119030,0.000000000,-0.836876869,0.000000000,0.000000000
42,0.716666698,0.379999995,0.485838979,0.000000000,-0.856802464,0.000000000,0.000000000
43,0.733333349,0.379999995,0.471226841,0.000000000,-0.876728058,0.000000000,0.000000000
44,0.750000060,0.379999995,0.456282616,0.000000000,-0.896653652,0.000000000,0.000000000
45,0.766666710,0.379999995,0.441006273,0.000000000,-0.916579247,0.000000000,0.000000000
46,0.783333361,0.379999995,0.425397873,0.000000000,-0.936504841,0.000000000,0.000000000
47,0.800000072,0.379999995,0.409457356,0.000000000,-0.956430435,0.000000000,0.000000000
48,0.816666722,0.379999995,0.393184751,0.000000000,-0.976356030,0.000000000,0.000000000
49,0.833333373,0.379999995,0.376580060,0.000000000,-0.996281624,0.000000000,0.000000000
50,0.850000024,0.379999995,0.359643281,0.000000000,-1.016207218,0.000000000,0.000000000
51,0.866666734,0.379999995,0.342374414,0.000000000,-1.036132813,0.000000000,0.000000000
52,0.883333385,0.379999995,0.324773461,0.000000000,-1.056058407,0.000000000,0.000000000
53,0.900000036,0.379999995,0.306840390,0.000000000,-1.075984001,0.000000000,0.000000000
54,0.916666687,0.379999995,0.288575232,0.000000000,-1.095909595,0.000000000,0.000000000
55,0.933333397,0.379999995,0.269977987,0.000000000,-1.115835190,0.000000000,0.000000000
56,0.950000048,0.379999995,0.251048654,0.000000000,-1.135760784,0.000000000,0.000000000
57,0.966666698,0.379999995,0.231787235,0.000000000,-1.155686378,0.000000000,0.000000000
58,0.983333409,0.379999995,0.212193698,0.000000000,-1.175611973,0.000000000,0.000000000
59,1.000000000,0.379999995,0.192268074,0.000000000,-1.195537567,0.000000000,0.000000000
