frame,seq,event,label,id,value,score
7,0,CONTACT_BEGIN,ground,0,0,0
8,0,CONTACT_END,ground,0,0,0
11,0,CONTACT_BEGIN,ground,0,0,0
12,0,PLUNGE,ball,0,1,0
13,0,CONTACT_END,ground,0,0,0
56,0,CONTACT_BEGIN,top-right-1,0,0,0
56,1,CONTACT_BEGIN,top-right-2,0,0,0
56,2,CONTACT_BEGIN,top-right-3,0,0,0
57,0,CONTACT_END,top-right-1,0,0,0
57,1,CONTACT_END,top-right-2,0,0,0
57,2,CONTACT_END,top-right-3,0,0,0
57,3,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,0
58,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,0
58,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,0
61,0,CONTACT_BEGIN,top-right-8,0,0,0
61,1,CONTACT_BEGIN,top-right-7,0,0,0
62,0,CONTACT_END,top-right-8,0,0,0
62,1,CONTACT_END,top-right-7,0,0,0
62,2,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,0
67,0,CONTACT_BEGIN,top-right-13,0,0,0
68,0,CONTACT_BEGIN,top-right-14,0,0,0
69,0,CONTACT_BEGIN,top-right-15,0,0,0
69,1,CONTACT_END,top-right-13,0,0,0
69,2,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,0
70,0,CONTACT_END,top-right-14,0,0,0
70,1,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,0
70,2,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,0
71,0,CONTACT_BEGIN,top-right-16,0,0,0
71,1,CONTACT_END,top-right-15,0,0,0
72,0,CONTACT_BEGIN,top-right-17,0,0,0
73,0,CONTACT_END,top-right-16,0,0,0
74,0,CONTACT_END,top-right-17,0,0,0
74,1,CONTACT_BEGIN,top-right-18,0,0,0
74,2,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,0
75,0,CONTACT_BEGIN,top-right-19,0,0,0
76,0,CONTACT_END,top-right-18,0,0,0
77,0,CONTACT_END,top-right-19,0,0,0
87,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,0
88,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,0
88,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,0
91,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,0
93,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,0
94,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,0
94,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,0
97,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,0
133,0,CONTACT_BEGIN,obstacle:7,7,0,0
134,0,CONTACT_END,obstacle:7,7,0,0
153,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,0
154,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,0
154,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,0
158,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,0
165,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,0
166,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,0
166,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,0
170,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,0
182,0,CONTACT_BEGIN,sling-corner:5,5,0,0
182,1,CONTACT_BEGIN,sling-reactive:5,5,0,0
183,0,CONTACT_END,sling-reactive:5,5,0,0
183,1,HIT,sling-reactive:5,5,5,5
183,2,CONTACT_END,sling-corner:5,5,0,5
183,3,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,5
184,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,5
184,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,5
187,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,5
189,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,5
190,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,5
190,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,5
193,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,5
228,0,CONTACT_BEGIN,obstacle:7,7,0,5
229,0,CONTACT_END,obstacle:7,7,0,5
249,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,5
250,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,5
250,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,5
254,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,5
261,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,5
262,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,5
262,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,5
266,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,5
279,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,5
280,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,5
280,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,5
283,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,5
285,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,5
286,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,5
286,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,5
289,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,5
305,0,CONTACT_BEGIN,sling-reactive:9,9,0,5
305,1,CONTACT_BEGIN,sling-corner:9,9,0,5
306,0,CONTACT_END,sling-corner:9,9,0,5
306,1,CONTACT_END,sling-reactive:9,9,0,5
306,2,HIT,sling-reactive:9,9,0,5
317,0,CONTACT_BEGIN,left-wall,0,0,5
318,0,CONTACT_END,left-wall,0,0,5
345,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,5
346,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,5
346,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,5
350,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,5
357,0,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,5
358,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,5
358,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,5
362,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,5
370,0,CONTACT_BEGIN,sling-reactive:5,5,0,5
371,0,CONTACT_END,sling-reactive:5,5,0,5
371,1,HIT,sling-reactive:5,5,5,10
375,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,10
376,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,10
376,1,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,10
379,0,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,10
380,0,CONTACT_BEGIN,obstacle:8,8,0,10
381,0,CONTACT_END,obstacle:8,8,0,10
381,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,10
382,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,10
382,1,FLIPPER_CONTACT_BEGIN,flipper-right:poly-vs-right-flipper-corner,0,0,10
385,0,FLIPPER_CONTACT_END,flipper-right:poly-vs-right-flipper-corner,0,0,10
402,0,CONTACT_BEGIN,flipper-right:pivot,0,0,10
402,1,CONTACT_BEGIN,flipper-right:poly,0,0,10
403,0,CONTACT_END,flipper-right:pivot,0,0,10
403,1,CONTACT_END,flipper-right:poly,0,0,10
434,0,CONTACT_BEGIN,flipper-right:poly,0,0,10
435,0,CONTACT_END,flipper-right:poly,0,0,10
441,0,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,10
442,0,CONTACT_BEGIN,flipper-right:poly,0,0,10
442,1,FLIPPER_CONTACT_END,flipper-left:poly-vs-left-flipper-corner,0,0,10
442,2,FLIPPER_CONTACT_BEGIN,flipper-left:poly-vs-left-flipper-corner,0,0,10
