frame,t,ball,x,y,vx,vy,leftAngle,leftOmega,rightAngle,rightOmega,score,plunged,down
0,0.016666668,1,0.735000014,0.033167906,0.000000000,-0.019925641,-0.643501043,-0.000000000,0.643501222,0.000000000,0,0,0
1,0.033333335,1,0.735000014,0.032503717,0.000000000,-0.039851282,-0.768931806,-7.546126366,0.643501282,-0.000000000,0,0,0
2,0.050000004,1,0.735000014,0.031507432,0.000000000,-0.059776921,-0.701958776,-0.000000000,0.643501282,-0.000000000,0,0,0
3,0.066666670,1,0.735000014,0.030179057,0.000000000,-0.079702564,-0.684543133,0.000000000,0.643501282,0.000000000,0,0,0
4,0.083333336,1,0.735000014,0.028518587,0.000000000,-0.099628203,-0.680005968,-0.000000000,0.643501282,-0.000000000,0,0,0
5,0.100000009,1,0.735000014,0.026526023,0.000000000,-0.119553842,-0.678824008,-0.000000000,0.643501282,0.000000000,0,0,0
6,0.116666675,1,0.735000014,0.024201363,0.000000000,-0.139479488,-0.678516090,-0.000000000,0.643501282,-0.000000000,0,0,0
7,0.133333340,1,0.735000014,0.024732713,0.000000000,0.031881023,-0.678435922,-0.000000000,0.643501282,0.000000000,0,0,0
8,0.150000006,1,0.735000014,0.024931971,0.000000000,0.011955382,-0.678415060,-0.000000000,0.643501282,-0.000000000,0,0,0
9,0.166666672,1,0.735000014,0.024799133,0.000000000,-0.007970259,-0.678409457,-0.000000000,0.643501282,0.000000000,0,0,0
10,0.183333337,1,0.735000014,0.024334202,0.000000000,-0.027895898,-0.678408086,-0.000000000,0.643501282,-0.000000000,0,0,0
11,0.200000018,1,0.735000014,0.024334202,0.000000000,0.000000000,-0.678407848,0.000000000,0.643501282,0.000000000,0,0,0
12,0.216666684,1,0.735000014,0.056702115,0.000000000,1.942074418,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
13,0.233333349,1,0.735000014,0.088737927,0.000000000,1.922148705,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
14,0.250000000,1,0.735000014,0.120441653,0.000000000,1.902222991,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
15,0.266666681,1,0.735000014,0.151813269,0.000000000,1.882297277,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
16,0.283333361,1,0.735000014,0.182852790,0.000000000,1.862371683,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
17,0.300000012,1,0.735000014,0.213560224,0.000000000,1.842445970,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
18,0.316666692,1,0.735000014,0.243935555,0.000000000,1.822520256,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
19,0.333333343,1,0.735000014,0.273978800,0.000000000,1.802594543,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
20,0.350000024,1,0.735000014,0.303689957,0.000000000,1.782668829,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
21,0.366666675,1,0.735000014,0.333069026,0.000000000,1.762743235,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
22,0.383333355,1,0.735000014,0.362115979,0.000000000,1.742817521,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
23,0.400000036,1,0.735000014,0.390830845,0.000000000,1.722891808,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
24,0.416666687,1,0.735000014,0.419213623,0.000000000,1.702966094,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
25,0.433333367,1,0.735000014,0.447264284,0.000000000,1.683040380,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
26,0.450000018,1,0.735000014,0.474982888,0.000000000,1.663114786,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
27,0.466666698,1,0.735000014,0.502369344,0.000000000,1.643189073,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
28,0.483333349,1,0.735000014,0.529423773,0.000000000,1.623263359,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
29,0.500000000,1,0.735000014,0.556146026,0.000000000,1.603337646,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
30,0.516666710,1,0.735000014,0.582536280,0.000000000,1.583412051,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
31,0.533333361,1,0.735000014,0.608594358,0.000000000,1.563486457,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
32,0.550000012,1,0.735000014,0.634320378,0.000000000,1.543560863,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
33,0.566666722,1,0.735000014,0.659714341,0.000000000,1.523635268,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
34,0.583333373,1,0.735000014,0.684776187,0.000000000,1.503709674,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
35,0.600000024,1,0.735000014,0.709505916,0.000000000,1.483784080,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
36,0.616666675,1,0.735000014,0.733903527,0.000000000,1.463858485,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
37,0.633333385,1,0.735000014,0.757969081,0.000000000,1.443932891,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
38,0.650000036,1,0.735000014,0.781702578,0.000000000,1.424007297,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
39,0.666666687,1,0.735000014,0.805103958,0.000000000,1.404081702,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
40,0.683333397,1,0.735000014,0.828173280,0.000000000,1.384156108,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
41,0.700000048,1,0.735000014,0.850910485,0.000000000,1.364230514,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
42,0.716666698,1,0.735000014,0.873315513,0.000000000,1.344304919,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
43,0.733333349,1,0.735000014,0.895388484,0.000000000,1.324379325,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
44,0.750000060,1,0.735000014,0.917129397,0.000000000,1.304453731,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
45,0.766666710,1,0.735000014,0.938538253,0.000000000,1.284528136,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
46,0.783333361,1,0.735000014,0.959614933,0.000000000,1.264602542,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
47,0.800000072,1,0.735000014,0.980359554,0.000000000,1.244676948,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
48,0.816666722,1,0.735000014,1.000772119,0.000000000,1.224751353,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
49,0.833333373,1,0.735000014,1.020852566,0.000000000,1.204825759,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
50,0.850000024,1,0.735000014,1.040600896,0.000000000,1.184900165,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
51,0.866666734,1,0.735000014,1.060017109,0.000000000,1.164974570,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
52,0.883333385,1,0.735000014,1.079101324,0.000000000,1.145048976,-0.678407848,0.000000000,0.643501282,-0.000000000,0,1,0
53,0.900000036,1,0.735000014,1.097853422,0.000000000,1.125123382,-0.678407848,-0.000000000,0.643501282,0.000000000,0,1,0
54,0.916666687,1,0.735000014,1.116273284,0.000000000,1.105197787,-0.284793347,24.282508850,0.643501282,-0.000000000,0,1,0
55,0.933333397,1,0.735000014,1.134361148,0.000000000,1.085272193,0.275392801,35.682994843,0.643501282,0.000000000,0,1,0
56,0.950000048,1,0.729734838,1.150022745,-0.253026664,0.946801484,0.889458060,39.665328979,0.643501282,-0.000000000,0,1,0
57,0.966666698,1,0.725517750,1.165470719,-0.253026664,0.926875889,1.677504778,51.856075287,0.643501282,0.000000000,0,1,0
58,0.983333409,1,0.721300662,1.180586576,-0.253026664,0.906950295,1.418630958,0.000000000,0.643501282,-0.000000000,0,1,0
59,1.000000000,1,0.717083573,1.195370317,-0.253026664,0.887024701,1.319059134,0.000000000,0.643501282,0.000000000,0,1,0
60,1.016666770,1,0.712866426,1.209821939,-0.253026664,0.867099106,1.103648782,0.000000000,0.643501282,-0.000000000,0,1,0
61,1.033333421,1,0.706063628,1.221723676,-0.408171982,0.714100242,0.988394856,-7.457700253,0.643501282,0.000000000,0,1,0
62,1.050000072,1,0.699260771,1.233293295,-0.408171982,0.694174647,0.789211750,-11.264159203,0.643501282,-0.000000000,0,1,0
63,1.066666722,1,0.692457914,1.244530797,-0.408171982,0.674248993,0.571703315,-13.157641411,0.643501282,0.000000000,0,1,0
64,1.083333373,1,0.685655057,1.255436182,-0.408171982,0.654323339,0.338671327,-14.114070892,0.643501282,-0.000000000,0,1,0
65,1.100000024,1,0.678852201,1.266009450,-0.408171982,0.634397686,0.097910419,-14.591609001,0.643501282,0.000000000,0,1,0
66,1.116666675,1,0.672049403,1.276250601,-0.408171982,0.614472032,-0.146677166,-14.828408241,0.249969751,-24.277093887,0,1,0
67,1.133333445,1,0.664534211,1.285098195,-0.450910866,0.530853093,-0.393023610,-14.937321663,-0.310154319,-35.678512573,0,1,0
68,1.150000095,1,0.656806350,1.293256402,-0.463668674,0.489490688,-0.639920413,-14.971434593,-0.924235284,-39.666526794,0,1,0
69,1.166666746,1,0.648901403,1.300744295,-0.474298418,0.449279547,-0.886577129,-14.956541061,-1.726460814,-51.974624634,0,1,0
70,1.183333397,1,0.640996456,1.307900190,-0.474298418,0.429353893,-0.749537766,-0.000000000,-1.467908502,-0.000000000,0,1,0
71,1.200000048,1,0.633055568,1.314645290,-0.476455837,0.404705584,-0.696938515,0.000000000,-1.391022801,0.000000000,0,1,0
72,1.216666698,1,0.625000715,1.320768476,-0.483289063,0.367386848,-0.683235407,0.000000000,-1.278981805,-0.000000000,0,1,0
73,1.233333349,1,0.616945863,1.326559424,-0.483289063,0.347461164,-0.679665446,0.000000000,-0.995336831,7.416574955,0,1,0
74,1.250000119,1,0.608891070,1.332018375,-0.483289063,0.327535540,-0.678735375,0.000000000,-0.811198592,11.115690231,0,1,0
75,1.266666770,1,0.600770593,1.336904287,-0.487227350,0.293155730,-0.678492963,0.000000000,-0.594698608,13.095628738,0,1,0
76,1.283333421,1,0.592650175,1.341458082,-0.487227350,0.273230106,-0.678430021,-0.000000000,-0.362195551,14.081414223,0,1,0
77,1.300000072,1,0.584529757,1.345679879,-0.487227350,0.253304452,-0.678413332,-0.000000000,-0.121715724,14.574226379,0,1,0
78,1.316666722,1,0.576409280,1.349569559,-0.487227350,0.233378813,-0.678409040,0.000000000,0.122730099,14.819629669,0,1,0
79,1.333333373,1,0.568288863,1.353127122,-0.487227350,0.213453174,-0.678407967,0.000000000,0.369023770,14.934048653,0,1,0
80,1.350000024,1,0.560168386,1.356352568,-0.487227350,0.193527535,-0.678407848,0.000000000,0.615932524,14.972168922,0,1,0
81,1.366666794,1,0.552047968,1.359245896,-0.487227350,0.173601896,-0.678407848,0.000000000,0.862652123,14.960445404,0,1,0
82,1.383333445,1,0.543927550,1.361807108,-0.487227350,0.153676242,-0.678407848,-0.000000000,0.737394989,0.000000000,0,1,0
83,1.400000095,1,0.535807073,1.364036322,-0.487227350,0.133750603,-0.678407848,0.000000000,0.693774819,0.000000000,0,1,0
84,1.416666746,1,0.527686656,1.365933418,-0.487227350,0.113824964,-0.284793288,24.282512665,0.682411075,-0.000000000,0,1,0
85,1.433333397,1,0.519566178,1.367498398,-0.487227350,0.093899325,0.275392860,35.682994843,0.679450572,-0.000000000,0,1,0
86,1.450000048,1,0.511445761,1.368731260,-0.487227350,0.073973678,0.889458001,39.665325165,0.678679645,0.000000000,0,1,0
87,1.466666698,1,0.503325343,1.369632125,-0.487227350,0.054048039,1.677504897,51.856082916,0.678478539,0.000000000,0,1,0
88,1.483333468,1,0.495204866,1.370200872,-0.487227350,0.034122396,1.418629408,-0.000000000,0.678426147,0.000000000,0,1,0
89,1.500000119,1,0.487084448,1.370437384,-0.487227350,0.014196755,1.319058180,0.000000000,0.678412557,0.000000000,0,1,0
90,1.516666770,1,0.478964001,1.370342016,-0.487227350,-0.005728886,1.009675503,-7.406807899,0.284797966,-24.282508850,0,1,0
91,1.533333421,1,0.470843554,1.369914412,-0.487227350,-0.025654525,0.826173782,-11.079418182,-0.275388300,-35.682994843,0,1,0
92,1.550000072,1,0.462723106,1.369154692,-0.487227350,-0.045580167,0.610004187,-13.075320244,-0.889453590,-39.665328979,0,1,0
93,1.566666722,1,0.454602659,1.368062973,-0.487227350,-0.065505810,0.377693176,-14.069569588,-1.677498341,-51.856067657,0,1,0
94,1.583333373,1,0.446482241,1.366639137,-0.487227350,-0.085431449,0.137326375,-14.567245483,-1.418625474,-0.000000000,0,1,0
95,1.600000143,1,0.438361794,1.364883184,-0.487227350,-0.105357088,-0.107058510,-14.815858841,-1.319053054,-0.000000000,0,1,0
96,1.616666794,1,0.430241346,1.362795115,-0.487227350,-0.125282735,-0.353331089,-14.932746887,-1.009673357,7.406812668,0,1,0
97,1.633333445,1,0.422120899,1.360375047,-0.487227350,-0.145208374,-0.600252688,-14.972967148,-0.826171398,11.079424858,0,1,0
98,1.650000095,1,0.414000452,1.357622862,-0.487227350,-0.165134013,-0.847015023,-14.963080406,-0.610001624,13.075324059,0,1,0
99,1.666666746,1,0.405880034,1.354538441,-0.487227350,-0.185059652,-0.729440033,-0.000000000,-0.377690405,14.069572449,0,1,0
100,1.683333397,1,0.397759557,1.351122022,-0.487227350,-0.204985291,-0.691702604,0.000000000,-0.137323439,14.567245483,0,1,0
101,1.700000048,1,0.389639080,1.347373486,-0.487227350,-0.224910930,-0.681871355,-0.000000000,0.107061483,14.815858841,0,1,0
102,1.716666698,1,0.381518632,1.343292952,-0.487227350,-0.244836569,-0.679310024,0.000000000,0.353333950,14.932746887,0,1,0
103,1.733333468,1,0.373398155,1.338880181,-0.487227350,-0.264762223,-0.678642869,0.000000000,0.600255966,14.972967148,0,1,0
104,1.750000119,1,0.365277708,1.334135294,-0.487227350,-0.284687847,-0.678468883,0.000000000,0.847018242,14.963079453,0,1,0
105,1.766666770,1,0.357157230,1.329058409,-0.487227350,-0.304613501,-0.678423464,0.000000000,0.729441702,0.000000000,0,1,0
106,1.783333421,1,0.349036753,1.323649526,-0.487227350,-0.324539125,-0.678411841,0.000000000,0.691703141,0.000000000,0,1,0
107,1.800000072,1,0.340916306,1.317908406,-0.487227350,-0.344464779,-0.678408802,-0.000000000,0.681871653,-0.000000000,0,1,0
108,1.816666722,1,0.332795829,1.311835170,-0.487227350,-0.364390433,-0.678407967,-0.000000000,0.679309845,0.000000000,0,1,0
109,1.833333373,1,0.324675381,1.305429935,-0.487227350,-0.384316057,-0.678407848,0.000000000,0.678642571,-0.000000000,0,1,0
110,1.850000143,1,0.316554904,1.298692584,-0.487227350,-0.404241711,-0.678407848,0.000000000,0.678468764,-0.000000000,0,1,0
111,1.866666794,1,0.308434427,1.291623116,-0.487227350,-0.424167335,-0.678407848,-0.000000000,0.678423464,0.000000000,0,1,0
112,1.883333445,1,0.300313979,1.284221530,-0.487227350,-0.444092989,-0.678407848,0.000000000,0.678411841,-0.000000000,0,1,0
113,1.900000095,1,0.292193502,1.276487947,-0.487227350,-0.464018643,-0.678407848,-0.000000000,0.678408802,0.000000000,0,1,0
114,1.916666746,1,0.284073055,1.268422246,-0.487227350,-0.483944267,-0.678407848,0.000000000,0.678407967,-0.000000000,0,1,0
115,1.933333397,1,0.275952578,1.260024309,-0.487227350,-0.503869891,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
116,1.950000048,1,0.267832100,1.251294374,-0.487227350,-0.523795545,-0.678407848,0.000000000,0.678407848,-0.000000000,0,1,0
117,1.966666818,1,0.259711653,1.242232442,-0.487227350,-0.543721199,-0.678407848,-0.000000000,0.678407848,0.000000000,0,1,0
