frame,point,bodyA,bodyB,nx,ny,px,py,normalImpulseScaled,tangentImpulseScaled
7,0,null,ball,0.000000000,1.000000000,0.735000014,0.011116358,0.087617524,0.000000000
11,0,null,ball,0.000000000,1.000000000,0.735000014,0.010917102,0.021904383,0.000000000
12,0,null,ball,0.000000000,1.000000000,0.735000014,0.027101059,0.000000000,0.000000000
56,0,null,ball,-0.998533428,-0.054138910,0.745461166,1.150937080,0.000000000,-0.000000000
56,0,null,ball,-0.994137943,-0.108119026,0.744642854,1.151648521,0.000000000,-0.000000000
56,0,null,ball,-0.986826539,-0.161781996,0.744190097,1.152339220,0.123155251,-0.034833565
56,0,null,ball,-0.994137943,-0.108119026,0.744118989,1.151587129,0.000000000,-0.000000000
56,0,null,ball,-0.998533428,-0.054138910,0.744938791,1.150847197,0.000000000,-0.000000000
56,0,null,ball,-0.986826539,-0.161781996,0.743661761,1.152305961,0.000000000,-0.000000000
61,0,null,ball,-0.907575428,-0.419889122,0.718800664,1.227616549,0.090089127,-0.025481055
61,0,null,ball,-0.928976715,-0.370138139,0.719467819,1.227064371,0.000000000,-0.000000000
67,0,null,ball,-0.762162030,-0.647386312,0.674740195,1.293767214,0.033807419,-0.009562181
68,0,null,ball,-0.725995481,-0.687699437,0.666504681,1.302443027,0.010994984,-0.003109854
68,0,null,ball,-0.762162030,-0.647386312,0.667244256,1.302122355,0.000000000,-0.000000000
69,0,null,ball,-0.725995481,-0.687699437,0.658813655,1.310133696,0.000000000,-0.000000000
69,0,null,ball,-0.687699437,-0.725995541,0.658134818,1.310491920,0.010094021,-0.002855019
70,0,null,ball,-0.687699437,-0.725995541,0.650312781,1.317735314,0.000000000,-0.000000000
71,0,null,ball,-0.647386253,-0.762162089,0.641753733,1.324885607,0.002288456,-0.000647273
72,0,null,ball,-0.647386253,-0.762162089,0.633876204,1.331217527,0.000000000,-0.000000000
72,0,null,ball,-0.605174184,-0.796093047,0.633138359,1.331473351,0.008236436,-0.002329617
73,0,null,ball,-0.605174184,-0.796093047,0.625163555,1.337369561,0.000000000,-0.000000000
74,0,null,ball,-0.561187029,-0.827689052,0.616440475,1.343153000,0.000000000,-0.000000000
75,0,null,ball,-0.515553772,-0.856857240,0.607713044,1.348442793,0.006602962,-0.001867601
75,0,null,ball,-0.561187029,-0.827689052,0.608464003,1.348251224,0.000000000,-0.000000000
76,0,null,ball,-0.515553772,-0.856857240,0.599665999,1.353118539,0.000000000,-0.000000000
147,0,null,ball,1.000000000,0.000000000,0.013132830,0.819531739,0.348148078,-0.098471150
