# launch
frame,t,x,y,vx,vy,angle,omega
0,0.016666668,0.735000014,0.033167906,0.000000000,-0.019925641,0.000000000,0.000000000
1,0.033333335,0.735000014,0.032503717,0.000000000,-0.039851282,0.000000000,0.000000000
2,0.050000004,0.735000014,0.031507436,0.000000000,-0.059776921,0.000000000,0.000000000
3,0.066666670,0.735000014,0.030179059,0.000000000,-0.079702564,0.000000000,0.000000000
4,0.083333336,0.735000014,0.028518591,0.000000000,-0.099628203,0.000000000,0.000000000
5,0.100000009,0.735000014,0.026526025,0.000000000,-0.119553842,0.000000000,0.000000000
6,0.116666675,0.735000014,0.024201367,0.000000000,-0.139479488,0.000000000,0.000000000
7,0.133333340,0.735000014,0.024732716,0.000000000,0.031881023,0.000000000,0.000000000
8,0.150000006,0.735000014,0.024931973,0.000000000,0.011955382,0.000000000,0.000000000
9,0.166666672,0.735000014,0.024799135,0.000000000,-0.007970259,0.000000000,0.000000000
10,0.183333337,0.735000014,0.024334203,0.000000000,-0.027895898,0.000000000,0.000000000
11,0.200000018,0.735000014,0.024334203,0.000000000,0.000000000,0.000000000,0.000000000
12,0.216666684,0.735000014,0.056702115,0.000000000,1.942074418,0.000000000,0.000000000
13,0.233333349,0.735000014,0.088737927,0.000000000,1.922148705,0.000000000,0.000000000
14,0.250000000,0.735000014,0.120441653,0.000000000,1.902222991,0.000000000,0.000000000
15,0.266666681,0.735000014,0.151813269,0.000000000,1.882297277,0.000000000,0.000000000
16,0.283333361,0.735000014,0.182852790,0.000000000,1.862371683,0.000000000,0.000000000
17,0.300000012,0.735000014,0.213560224,0.000000000,1.842445970,0.000000000,0.000000000
18,0.316666692,0.735000014,0.243935555,0.000000000,1.822520256,0.000000000,0.000000000
19,0.333333343,0.735000014,0.273978800,0.000000000,1.802594543,0.000000000,0.000000000
20,0.350000024,0.735000014,0.303689957,0.000000000,1.782668829,0.000000000,0.000000000
21,0.366666675,0.735000014,0.333069026,0.000000000,1.762743235,0.000000000,0.000000000
22,0.383333355,0.735000014,0.362115979,0.000000000,1.742817521,0.000000000,0.000000000
23,0.400000036,0.735000014,0.390830845,0.000000000,1.722891808,0.000000000,0.000000000
24,0.416666687,0.735000014,0.419213623,0.000000000,1.702966094,0.000000000,0.000000000
25,0.433333367,0.735000014,0.447264284,0.000000000,1.683040380,0.000000000,0.000000000
26,0.450000018,0.735000014,0.474982888,0.000000000,1.663114786,0.000000000,0.000000000
27,0.466666698,0.735000014,0.502369344,0.000000000,1.643189073,0.000000000,0.000000000
28,0.483333349,0.735000014,0.529423773,0.000000000,1.623263359,0.000000000,0.000000000
29,0.500000000,0.735000014,0.556146026,0.000000000,1.603337646,0.000000000,0.000000000
30,0.516666710,0.735000014,0.582536280,0.000000000,1.583412051,0.000000000,0.000000000
31,0.533333361,0.735000014,0.608594358,0.000000000,1.563486457,0.000000000,0.000000000
32,0.550000012,0.735000014,0.634320378,0.000000000,1.543560863,0.000000000,0.000000000
33,0.566666722,0.735000014,0.659714341,0.000000000,1.523635268,0.000000000,0.000000000
34,0.583333373,0.735000014,0.684776187,0.000000000,1.503709674,0.000000000,0.000000000
35,0.600000024,0.735000014,0.709505916,0.000000000,1.483784080,0.000000000,0.000000000
36,0.616666675,0.735000014,0.733903527,0.000000000,1.463858485,0.000000000,0.000000000
37,0.633333385,0.735000014,0.757969081,0.000000000,1.443932891,0.000000000,0.000000000
38,0.650000036,0.735000014,0.781702578,0.000000000,1.424007297,0.000000000,0.000000000
39,0.666666687,0.735000014,0.805103958,0.000000000,1.404081702,0.000000000,0.000000000
40,0.683333397,0.735000014,0.828173280,0.000000000,1.384156108,0.000000000,0.000000000
41,0.700000048,0.735000014,0.850910485,0.000000000,1.364230514,0.000000000,0.000000000
