case,x,y,vx,vy,jsX,jsY,jsVX,jsVY,dividerTOI,ceilingTOI,rightWallTOI
divider-left,0.62,0.8,1,0,0.6366666666666662,0.7996679060392213,1,-0.01992563764674161,,,
divider-left,0.62,0.8,2,0,0.6533333333333332,0.7996679060392211,2,-0.01992563764674161,,,
divider-left,0.62,0.8,4,0,0.6866666666666664,0.79966790603922,4,-0.01992563764674161,,,
divider-left,0.62,0.8,6,0,0.6831825,0.7996940862284044,-3.3599999999999994,-0.013096023076956887,0.7700000000000025,,
divider-left,0.62,0.8,10,0,0.6458491666666667,0.7997291449165297,-5.600000000000001,-0.013096023076956887,0.46200000000000147,,0.7020000000000025
divider-left,0.65,0.8,1,0,0.6666666666666662,0.7996679060392213,1,-0.01992563764674161,,,
divider-left,0.65,0.8,2,0,0.6833333333333332,0.7996679060392211,2,-0.01992563764674161,,,
divider-left,0.65,0.8,4,0,0.6850491666666666,0.7997014849775217,-2.24,-0.013096023076956887,0.7050000000000016,,
divider-left,0.65,0.8,6,0,0.6663825,0.7997282343012536,-3.3599999999999994,-0.013096023076956887,0.47000000000000114,,0.8700000000000029
divider-left,0.65,0.8,10,0,0.6290491666666667,0.7997496337602391,-5.600000000000001,-0.013096023076956887,0.2820000000000007,,0.5220000000000017
divider-left,0.67,0.8,1,0,0.6866666666666662,0.7996679060392213,1,-0.01992563764674161,,,
divider-left,0.67,0.8,2,0,0.6925158333333332,0.7996895331520254,-1.12,-0.013096023076956887,0.8100000000000006,,
divider-left,0.67,0.8,4,0,0.6738491666666666,0.799735633050371,-2.24,-0.013096023076956887,0.40500000000000036,,
divider-left,0.67,0.8,6,0,0.6551824999999999,0.7997509996831531,-3.3599999999999994,-0.013096023076956887,0.27000000000000024,,0.670000000000002
divider-left,0.67,0.8,10,0,0.6178491666666666,0.7997632929893789,-5.600000000000001,-0.013096023076956887,0.16200000000000014,,0.4020000000000012
divider-left,0.68,0.8,1,0,0.6964266666666664,0.7996679060392213,1,-0.01992563764674161,,,
divider-left,0.68,0.8,2,0,0.6869158333333333,0.7997236812248744,-1.12,-0.013096023076956887,0.5099999999999993,,
