frame,event,label
6,CONTACT_BEGIN,ground
8,CONTACT_END,ground
10,CONTACT_BEGIN,ground
13,CONTACT_END,ground
56,CONTACT_BEGIN,top-right-1
56,CONTACT_BEGIN,top-right-2
56,CONTACT_BEGIN,top-right-3
57,CONTACT_END,top-right-1
57,CONTACT_END,top-right-2
57,CONTACT_END,top-right-3
61,CONTACT_BEGIN,top-right-7
61,CONTACT_BEGIN,top-right-8
62,CONTACT_END,top-right-7
62,CONTACT_END,top-right-8
67,CONTACT_BEGIN,top-right-13
68,CONTACT_BEGIN,top-right-14
69,CONTACT_BEGIN,top-right-15
69,CONTACT_END,top-right-13
70,CONTACT_END,top-right-14
71,CONTACT_BEGIN,top-right-16
71,CONTACT_END,top-right-15
72,CONTACT_BEGIN,top-right-17
73,CONTACT_END,top-right-16
74,CONTACT_BEGIN,top-right-18
74,CONTACT_END,top-right-17
75,CONTACT_BEGIN,top-right-19
76,CONTACT_END,top-right-18
77,CONTACT_END,top-right-19
133,CONTACT_BEGIN,obstacle:7
134,CONTACT_END,obstacle:7
182,CONTACT_BEGIN,sling-corner:5
182,CONTACT_BEGIN,sling-reactive:5
183,CONTACT_END,sling-reactive:5
183,CONTACT_END,sling-corner:5
228,CONTACT_BEGIN,obstacle:7
229,CONTACT_END,obstacle:7
305,CONTACT_BEGIN,sling-reactive:9
305,CONTACT_BEGIN,sling-corner:9
306,CONTACT_END,sling-reactive:9
306,CONTACT_END,sling-corner:9
317,CONTACT_BEGIN,left-wall
318,CONTACT_END,left-wall
370,CONTACT_BEGIN,sling-reactive:5
371,CONTACT_END,sling-reactive:5
380,CONTACT_BEGIN,obstacle:8
381,CONTACT_END,obstacle:8
402,CONTACT_BEGIN,flipper-right:pivot
402,CONTACT_BEGIN,flipper-right:poly
403,CONTACT_END,flipper-right:pivot
403,CONTACT_END,flipper-right:poly
435,CONTACT_BEGIN,fl-right-poly
436,CONTACT_END,fl-right-poly
458,CONTACT_BEGIN,fl-left-poly
469,CONTACT_END,fl-left-poly
477,CONTACT_BEGIN,sling-reactive:5
478,CONTACT_END,sling-reactive:5
501,CONTACT_BEGIN,top-right-9
501,CONTACT_BEGIN,top-right-10
501,CONTACT_BEGIN,top-right-11
502,CONTACT_END,top-right-9
502,CONTACT_END,top-right-10
502,CONTACT_END,top-right-11
519,CONTACT_BEGIN,ceiling
520,CONTACT_BEGIN,top-left-0
520,CONTACT_BEGIN,top-left-1
520,CONTACT_BEGIN,top-left-2
521,CONTACT_END,ceiling
521,CONTACT_END,top-left-0
521,CONTACT_END,top-left-1
521,CONTACT_END,top-left-2
534,CONTACT_BEGIN,top-left-20
534,CONTACT_BEGIN,top-left-21
534,CONTACT_BEGIN,top-left-22
534,CONTACT_BEGIN,top-left-23
535,CONTACT_END,top-left-20
535,CONTACT_END,top-left-21
535,CONTACT_END,top-left-22
535,CONTACT_END,top-left-23
544,CONTACT_BEGIN,bumper:1
545,CONTACT_END,bumper:1
550,CONTACT_BEGIN,obstacle:7
551,CONTACT_END,obstacle:7
624,CONTACT_BEGIN,bumper:2
625,CONTACT_END,bumper:2
626,CONTACT_BEGIN,bumper:3
627,CONTACT_END,bumper:3
640,CONTACT_BEGIN,ceiling
642,CONTACT_END,ceiling
699,CONTACT_BEGIN,right-flipper-corner
699,CONTACT_BEGIN,flipper-right:pivot
700,CONTACT_END,flipper-right:pivot
701,CONTACT_END,right-flipper-corner
738,CONTACT_BEGIN,flipper-right:poly
741,CONTACT_END,flipper-right:poly
746,CONTACT_BEGIN,obstacle:8
747,CONTACT_END,obstacle:8
753,CONTACT_BEGIN,plunger-tube
754,CONTACT_BEGIN,right-wall
755,CONTACT_END,right-wall
756,CONTACT_BEGIN,right-wall
759,CONTACT_END,right-wall
760,CONTACT_BEGIN,right-wall
760,CONTACT_END,plunger-tube
816,CONTACT_BEGIN,ground
819,CONTACT_END,ground
822,CONTACT_END,right-wall
830,CONTACT_BEGIN,plunger-tube
839,CONTACT_BEGIN,ground
841,CONTACT_END,ground
844,CONTACT_BEGIN,ground
3322,CONTACT_END,plunger-tube
