internal_index,display_level,name,disk_count,Repeller,GravityWell,Spinner,AreaObject,DefaultGravity,MovingObject,BlackHole,HWall,VWall,MovingWall,WallGenerator,killer_flags,crumble_flags,random_calls
0,1,Intro,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2,Off to the side...,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,3,Around a corner,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0
3,4,Up we go!,1,0,1,2,0,1,0,0,1,4,0,0,0,0,0
4,5,Watch the chute!,1,0,0,0,4,1,0,0,8,0,0,0,0,0,0
5,6,Careful around that wall,1,0,1,0,1,0,0,0,7,4,0,0,1,0,0
6,7,Dodge!,1,0,0,0,5,0,0,0,31,22,5,0,0,0,10
7,8,Be sure to get a run up,1,0,0,0,2,0,1,0,2,0,0,0,0,0,0
8,9,Holes,1,0,0,1,1,0,0,1,1,3,0,0,0,0,0
9,10,Under and over,1,0,0,0,4,0,1,0,3,0,1,0,0,0,0
10,11,Stay on track,1,0,0,0,22,0,0,0,4,3,0,0,0,0,0
11,12,Down and up,1,0,0,0,4,0,1,0,5,1,2,0,1,0,0
12,13,Black holes!,1,2,2,0,1,0,0,2,3,4,0,0,0,0,0
13,14,,1,0,1,2,0,1,0,0,1,4,0,0,1,0,0
14,15,,1,0,0,0,4,1,1,0,3,0,1,0,0,0,0
15,16,,1,0,0,0,22,0,0,0,0,0,0,0,0,0,0
16,17,,1,0,0,1,4,0,1,0,6,1,3,0,3,0,0
