path,pixel_width,pixel_height,sprite_frames,historical_logical_width,format,embedded_comment,sha256
gfx/c_shooting.gif,52,26,2,26,GIF,Created with The GIMP,c364927af34bd1fca3163d7d92c7af5a6d8fddb55488e7c8c600f9136c1ac6dc
gfx/c_thinking.gif,52,26,2,26,GIF,Created with The GIMP,1d5e7a6427969c3b368740d466f8ba86af45c3aac4c9c6f0bc1e3ef52e60de4f
gfx/cpktblue.gif,5,5,1,5,GIF,,380618653dbc3b2679f165b68aae5c97420d074e2c29ed22ad691dc96842e429
gfx/cpktred.gif,5,5,1,5,GIF,,334fff40705238f818795398d22d39ee2f717784c1b1454bc7391e2ae66516bb
gfx/earth.gif,101,101,1,101,GIF,,113397c3f345b6571045841c7c8e8132351a77fbcf4b4c7cc22f97fe1f7cb6b4
gfx/explosionanim.gif,300,50,6,50,GIF,Created with The GIMP,d0df47ea2cf5823c50e02fdebaeb851722af582d9d7ca73e6422f58c1a913876
gfx/extra.gif,50,50,1,50,GIF,,50d6d18b57937b3f590ada6a731802fa61dbd9aacb08a5b14a1b5d892023d8e6
gfx/extra0.gif,17,17,1,17,GIF,,be741647ee938049ddea50e15c474ada93ca688b2670343501e3e19cd4718558
gfx/extra1.gif,17,17,1,17,GIF,,af59c98ab8aa801424415bbd6c97671c159f278ec539fe3a435a9a5a6db63d5a
gfx/extra2.gif,17,17,1,17,GIF,,a013032cf3077863a638b19a807900edfe8f3a070c108e0ed395ce7f9e75ceb9
gfx/extra3.gif,17,17,1,17,GIF,,0cf844af69664f9d14173e7a9fe89ba1e518d076d0aa67d025890119330ae9ce
gfx/font.gif,1732,28,1,1732,GIF,,64eb46167e6ca672b83d7dd9aaae1380e6284580a2638ea4d9741cacfe158b28
gfx/heavy.gif,20,20,1,20,GIF,,55c560329729aff114ee9187a29f7c3a42d3209f7f899a743e8c7e2d47ad64ff
gfx/heavyback.gif,20,20,1,20,GIF,,ba6db0e8803dabef4ad285efb47d837e22932009c57dba69b39383b377722faa
gfx/heavybackk.gif,21,21,1,21,GIF,,02e17aa9309228ea92237750121c19e39cd67667293603c15a36de4959160189
gfx/highmoon.png,32,32,1,32,PNG,,1038df9dd0240624d3b40e103bef255d0d157de6bd8c86b07a02c3b93eb73e57
gfx/hole.gif,9,9,1,9,GIF,Created with The GIMP,7feab4cb8425a984361944cf456515c4476d9385af6cad57e884e2c26d1733c8
gfx/jupiter.gif,143,143,1,143,GIF,,96ec454f42d41bc14c2c06bc55d873e27b9b3cd9a40e52141f47814761e4e7cb
gfx/mars.gif,86,86,1,86,GIF,,277c4170ae4f6a50c93ecf7d9297b24e4daef6e5083b27d28c5a01f681ed2307
gfx/moon.gif,17,17,1,17,GIF,,79e842e333f7537d506884b0c13dfd271c18d010b09ad49331aa8cd0783b587c
gfx/moon_mask.gif,17,17,1,17,GIF,Created with The GIMP,ef3dc1b9e9a7585ade319ff4996a4a1bf9186005b86f549012a6351006a3f942
gfx/saturn.gif,101,101,1,101,GIF,,0d2b35efebe914e04b0b26c30096fa059b49f57cd3a898da58353e23a31c1f60
gfx/shoot.gif,17,17,1,17,GIF,Created with The GIMP,99e3af0cf5e41900be1b45a47ba69c4c80c16a7efa098adc41b3cdadff810aee
gfx/shootback.gif,17,17,1,17,GIF,Created with The GIMP,24f06c3a584c46bd732f7b5139ab9931fa56c5da6c71f48e2d174958d9c72e20
gfx/shootbackk.gif,13,13,1,13,GIF,Created with The GIMP,743e46f30c8611e4291724822561c3cf3220b217e736150aa375aaf54b8d45d9
gfx/stone.gif,7,7,1,7,GIF,,cc3dfe63d82045caf62dfdb9f886a81f93cee9fa2d71657fdfe9001791aef2f8
gfx/stone_mask.gif,7,7,1,7,GIF,,87246cfbe8f113e0f46603badfadb6cead08dd6cf2aa7ab5317ddfd2231a4fb1
gfx/ufoblue.gif,2500,100,25,100,GIF,,ec43ec8a91a0810a5202d56c21212b63daddf08e1d6148244f7d8a813562f493
gfx/ufored.gif,2500,100,25,100,GIF,,1e6e3d1cdd99a16a635237ce2f3358387b772bc8a19130d829d82c4d88ede04e
gfx/venus.gif,72,72,1,72,GIF,,b740474417b19144fda5085c50b8dfa4b0e65d4e6959aea7503309a412495bc9
icon.png,64,64,1,64,PNG,,b1d8877083126ba369a063e74cb39ef49f2ba27be0ddb5256d0a6592e7e34c13
