upstream_path,upstream_sha256,bytes,family,provenance_evidence,license_for_public_port,m8_public_replacement,decision
HighMoon/gfx/c_shooting.gif,c364927af34bd1fca3163d7d92c7af5a6d8fddb55488e7c8c600f9136c1ac6dc,223,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/c_thinking.gif,1d5e7a6427969c3b368740d466f8ba86af45c3aac4c9c6f0bc1e3ef52e60de4f,322,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/cpktblue.gif,380618653dbc3b2679f165b68aae5c97420d074e2c29ed22ad691dc96842e429,92,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/cpktred.gif,334fff40705238f818795398d22d39ee2f717784c1b1454bc7391e2ae66516bb,92,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/earth.gif,113397c3f345b6571045841c7c8e8132351a77fbcf4b4c7cc22f97fe1f7cb6b4,8525,planetary_art,source image/rights holder not established file-by-file,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/explosionanim.gif,d0df47ea2cf5823c50e02fdebaeb851722af582d9d7ca73e6422f58c1a913876,4393,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/extra.gif,50d6d18b57937b3f590ada6a731802fa61dbd9aacb08a5b14a1b5d892023d8e6,2860,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/extra0.gif,be741647ee938049ddea50e15c474ada93ca688b2670343501e3e19cd4718558,576,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/extra1.gif,af59c98ab8aa801424415bbd6c97671c159f278ec539fe3a435a9a5a6db63d5a,615,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/extra2.gif,a013032cf3077863a638b19a807900edfe8f3a070c108e0ed395ce7f9e75ceb9,613,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/extra3.gif,0cf844af69664f9d14173e7a9fe89ba1e518d076d0aa67d025890119330ae9ce,576,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/font.gif,64eb46167e6ca672b83d7dd9aaae1380e6284580a2638ea4d9741cacfe158b28,8967,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/heavy.gif,55c560329729aff114ee9187a29f7c3a42d3209f7f899a743e8c7e2d47ad64ff,134,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/heavyback.gif,ba6db0e8803dabef4ad285efb47d837e22932009c57dba69b39383b377722faa,1108,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/heavybackk.gif,02e17aa9309228ea92237750121c19e39cd67667293603c15a36de4959160189,1020,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/highmoon.png,1038df9dd0240624d3b40e103bef255d0d157de6bd8c86b07a02c3b93eb73e57,1920,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/hole.gif,7feab4cb8425a984361944cf456515c4476d9385af6cad57e884e2c26d1733c8,84,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/jupiter.gif,96ec454f42d41bc14c2c06bc55d873e27b9b3cd9a40e52141f47814761e4e7cb,11354,planetary_art,source image/rights holder not established file-by-file,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/mars.gif,277c4170ae4f6a50c93ecf7d9297b24e4daef6e5083b27d28c5a01f681ed2307,6202,planetary_art,source image/rights holder not established file-by-file,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/moon.gif,79e842e333f7537d506884b0c13dfd271c18d010b09ad49331aa8cd0783b587c,1077,planetary_art,source image/rights holder not established file-by-file,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/moon_mask.gif,ef3dc1b9e9a7585ade319ff4996a4a1bf9186005b86f549012a6351006a3f942,103,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/saturn.gif,0d2b35efebe914e04b0b26c30096fa059b49f57cd3a898da58353e23a31c1f60,6277,planetary_art,source image/rights holder not established file-by-file,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/shoot.gif,99e3af0cf5e41900be1b45a47ba69c4c80c16a7efa098adc41b3cdadff810aee,307,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/shootback.gif,24f06c3a584c46bd732f7b5139ab9931fa56c5da6c71f48e2d174958d9c72e20,1006,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/shootbackk.gif,743e46f30c8611e4291724822561c3cf3220b217e736150aa375aaf54b8d45d9,555,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/stone.gif,cc3dfe63d82045caf62dfdb9f886a81f93cee9fa2d71657fdfe9001791aef2f8,269,planetary_art,source image/rights holder not established file-by-file,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/stone_mask.gif,87246cfbe8f113e0f46603badfadb6cead08dd6cf2aa7ab5317ddfd2231a4fb1,56,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/ufoblue.gif,ec43ec8a91a0810a5202d56c21212b63daddf08e1d6148244f7d8a813562f493,49508,ship_sprite,original project contains file; file-specific origin/rights not established,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/ufored.gif,1e6e3d1cdd99a16a635237ce2f3358387b772bc8a19130d829d82c4d88ede04e,48580,ship_sprite,original project contains file; file-specific origin/rights not established,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/gfx/venus.gif,b740474417b19144fda5085c50b8dfa4b0e65d4e6959aea7503309a412495bc9,5008,planetary_art,source image/rights holder not established file-by-file,not independently established,src/presentation-art.js,keep only in private historical archive; no public asset bytes
HighMoon/icon.png,b1d8877083126ba369a063e74cb39ef49f2ba27be0ddb5256d0a6592e7e34c13,5898,hud_effect_or_icon,original project contains file; file-specific origin/rights not established,not independently established,src/game-app.js and src/presentation-effects.js,keep only in private historical archive; no public asset bytes
HighMoon/snd/applause.wav,67e7a54588525edfa3b0fcf285b5eb2c4e635acc1f552a24e626409897b0d32b,45258,audio,third-party lineage identified; historic per-sample terms unresolved,not independently established,src/presentation-audio.js,keep only in private historical archive; no public asset bytes
HighMoon/snd/click.wav,fd295372e36ae78c589bb3e26615f67bb02df179d62e612630f4e9d319c6101a,3056,audio,third-party lineage identified; historic per-sample terms unresolved,not independently established,src/presentation-audio.js,keep only in private historical archive; no public asset bytes
HighMoon/snd/curve.wav,a39ff239d835f8abe9c5487a5c2fb0c0fef9239c86652618eedeeeb87fbffbf1,134704,audio,third-party lineage identified; historic per-sample terms unresolved,not independently established,src/presentation-audio.js,keep only in private historical archive; no public asset bytes
HighMoon/snd/explosion.wav,8a088b471dfef09c7f1f1c021b30b1c7b8c5df7013ae6550111c65f7fc6b3195,23788,audio,third-party lineage identified; historic per-sample terms unresolved,not independently established,src/presentation-audio.js,keep only in private historical archive; no public asset bytes
HighMoon/snd/kling.wav,a5a7aad003f407fb515695ec929908935c6b14f117048b39d911c90ba99c3a6c,23210,audio,third-party lineage identified; historic per-sample terms unresolved,not independently established,src/presentation-audio.js,keep only in private historical archive; no public asset bytes
HighMoon/snd/laser.wav,6d5972cc6175cf9682ce3b55c9c1d4d89149443f536e0e3246b30aa2f21d6fda,8452,audio,third-party lineage identified; historic per-sample terms unresolved,not independently established,src/presentation-audio.js,keep only in private historical archive; no public asset bytes
HighMoon/snd/pluck.wav,edb26ac2b837c4524244b2ad722990e8796c4aa263d21089824c7788cb6ffb5c,14278,audio,third-party lineage identified; historic per-sample terms unresolved,not independently established,src/presentation-audio.js,keep only in private historical archive; no public asset bytes
HighMoon/snd/strom.wav,b2da7860fb88961d97f8f3a18fdd6c5f7c0c921bd838cc7ac2f329674cd3fff2,42576,audio,third-party lineage identified; historic per-sample terms unresolved,not independently established,src/presentation-audio.js,keep only in private historical archive; no public asset bytes
